"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 23 19:46:08 CST 2022","Wed Feb 23 19:46:08 CST 2022","172","testcases.home_project","test002_try_test_api","Test_study","","","测试用例001","尝试用allure生成美观的测试报告"
"broken","Wed Feb 23 19:46:08 CST 2022","Wed Feb 23 19:46:08 CST 2022","0","testcases.home_project","test002_try_test_api","Test_study","","","测试用例001","尝试用allure生成美观的测试报告"
